The,definite article, to indicate a person or thing that has already been mentioned or seen or is clearly understood from the situation
Design,verb," to plan and make decisions about (something that is being built or created)  to create the plans, drawings, etc., that show how (something) will be made"
Take,verb, to carry or move (something) to a place
Posted,verb," to put up (a sign, notice, etc.) so that it can be seen by many people"
Internet,noun, a system that connects computers throughout the world
Address,verb," to write on an envelope, package, letter, etc., the name and address of the person or business it is being sent to"
Community,noun," a group of people who live in the same area (such as a city, town, or neighborhood)"
Within,preposition, inside (a certain area or space)
States,noun, a way of living or existing
Area,noun, a part or section within a larger place
Want,verb, to desire or wish for (something)
Phone,noun,ch as
Dvd,noun, a computer disk that contains a large amount of information (such as a movie)  also   a movie that is recorded on a DVD
Shipping,noun," the act or business of sending goods to people, stores, etc."
Reserved,adjective, not openly expressing feelings or opinions
Subject,noun, the person or thing that is being discussed or described
Between,preposition, in the space that separates (two things or people)
Forum,noun, a meeting at which a subject can be discussed
Family,noun, a group of people who are related to each other
Long,adjective, extending a great distance from one end to the other end  not short
Based,adjective, to describe the base or basis of something often used in combination
Code,noun, a set of laws or regulations
Show,verb, to cause or allow (something) to be seen
Even,adjective," having a flat, smooth, or level surface"
Black,adjective, having the very dark color of coal or the night sky
Check,verb," to look at (something) carefully to find mistakes, problems, etc., or to make sure there is nothing wrong with it"
Special,adjective, different from what is normal or usual  especially   unusual in a good way  better or more important than others
Prices,noun, the amount of money that you pay for something or that something costs
Website,noun," a place on the World Wide Web that contains information about a person, organization, etc., and that usually consists of many Web pages joined by hyperlinks"
Index,noun, an ordered list: such as
Being,noun, a living thing
Women,noun, an adult female human being
Much,adjective, large in amount or extent  not little
Sign,noun," a piece of paper, wood, etc., with words or pictures on it that gives information about something"
File,noun," a device (such as a box, folder, or cabinet) in which documents that you want to keep are stored so that they can be found easily"
Link,verb," to join or connect (two or more things, places, etc.) together"
Open,adjective, not closed: such as
Today,noun, this day
Technology,noun," the use of science in industry, engineering, etc., to invent useful things or to solve problems"
South,noun, the direction that is to your right when you are facing the rising sun  the direction that is the opposite of north
Case,noun, a situation or occurrence that is an instance or example of something
Project,noun, a planned piece of work that has a specific purpose (such as to find information or to make something new) and that usually requires a lot of time
Same,adjective, not different
Pages,noun," one side of a sheet of paper especially in a book, magazine, etc."
Uk,abbreviation,United Kingdom
Version,noun, a story or description that is different in some way from another person's story or description
Section,noun, one of the parts that form something
Own,adjective," to say that something belongs or relates to a particular person or thing and to no other always used after a possessive (such as {ldquo}my,{rdquo} {ldquo}your,{rdquo} or {ldquo}their{rdquo})"
Sports,adjective," of, relating to, or suitable for sports"
House,noun, a building in which a family lives
Related,adjective, connected in some way
Security,noun, the state of being protected or safe from harm
Both,adjective, to indicate that two things or people are being referred to rather than just one
County,noun, an area of a state or country that is larger than a city and has its own government to deal with local matters
American,noun," a person born, raised, or living in the U.S."
Photo,noun,
Game,noun, a physical or mental activity or contest that has rules and that people do for pleasure
Members,noun, someone or something that belongs to or is a part of a group or an organization
Power,noun, the ability or right to control people or things
While,conjunction, during the time that
Care,noun," effort made to do something correctly, safely, or without causing damage"
Network,noun," a system of lines, wires, etc., that are connected to each other"
Down,adverb, from a higher to a lower place or position
Computer,noun, an electronic machine that can store and work with large amounts of information
Systems,noun, a group of related parts that move or work together
Three,noun, the number 3
Total,adjective, complete or absolute
Place,noun," a specific area or region of the world  a particular city, country, etc."
End,noun, a point that marks the limit of something  the point at which something no longer continues to happen or exist
Following,adjective, coming next
Download,verb,"computers   to move or copy (a file, program, etc.) from a usually larger computer system to another computer or device"
Him,pronoun," to refer to a certain man, boy, or male animal as the object of a verb or preposition"
Without,preposition, not having or including (something)
Per,preposition, for each
Access,noun," a way of getting near, at, or to something or someone"
Think,verb," to believe that something is true, that a particular situation exists, that something will happen, etc."
North,noun, the direction that is to your left when you are facing the rising sun  the direction that is the opposite of south
Resources,noun, something that a country has and can use to increase its wealth
Current,adjective, happening or existing now  belonging to or existing in the present time
Posts,noun, a piece of wood or metal that is set in an upright position into or on the ground especially as a support or marker
Big,adjective, large in size
Law,noun," the whole system or set of rules made by the government of a town, state, country, etc."
Control,verb, to direct the behavior of (a person or animal)  to cause (a person or animal) to do what you want
Water,noun," the clear liquid that has no color, taste, or smell, that falls from clouds as rain, that forms streams, lakes, and seas, and that is used for drinking, washing, etc."
History,noun, the study of past events
Pictures,noun," a painting, drawing, or photograph of someone or something"
Size,noun, the total amount of physical space that a person or thing occupies  how large or small someone or something is
Art,noun, something that is created with imagination and skill and that is beautiful or that expresses important ideas or feelings
Personal,adjective, belonging or relating to a particular person
Since,preposition, in the time after (a specified time or event in the past)  from (a point in the past) until the present time
Including,preposition, having (someone or something) as part of a group or total
Guide,noun, a person who leads or directs other people on a journey
Shop,noun, a building or room where goods and services are sold
Directory,noun," a book that contains an alphabetical list of names of people, businesses, etc.  especially "
Board,noun," a long, thin, flat piece of wood"
Location,noun, a place or position
Change,verb, to become different
White,adjective, having the color of fresh snow or milk
Text,noun, the original words of a piece of writing or a speech
Small,adjective, little in size
Rating,noun," a measurement of how good, difficult, efficient, etc., something or someone is"
Rate,noun, the speed at which something happens over a particular period of time
Government,noun," the group of people who control and make decisions for a country, state, etc."
During,preposition," throughout the entire time of (an event, period, occurrence, etc.)"
Usa,abbreviation,United States of America
Return,verb, to come or go to a place again  to come back or go back again
Students,noun," a person who attends a school, college, or university"
Shopping,noun," the activity of visiting places where goods are sold in order to look at and buy things (such as food, clothing, etc.)"
Account,noun, a record of money that has been paid and money that has been received
Times,preposition, multiplied by
Sites,noun," the place where something (such as a building) is, was, or will be located"
Level,noun, a specific height
Digital,adjective, showing the time with numbers instead of with hour and minute hands
Profile,noun, the shape of a head or face that is seen or drawn from the side
Previous,adjective, existing or happening before the present time
Form,noun, a type or kind of something
Events,noun, something (especially something important or notable) that happens
Love,noun, a feeling of strong or constant affection for a person
Old,adjective, having lived for many years  not young
Main,adjective, most important
Call,verb, to speak in a loud voice
Hours,noun, one of the 24 equal parts of a day  60 minutes
Image,noun," a picture that is produced by a camera, artist, mirror, etc."
Department,noun," one of the major parts of a company, organization, government, or school"
Title,noun," the name given to something (such as a book, song, or movie) to identify or describe it"
Description,noun," a statement that tells you how something or someone looks, sounds, etc.  words that describe something or someone"
Non,prefix, not
Insurance,noun," an agreement in which a person makes regular payments to a company and the company promises to pay money if the person is injured or dies, or to pay money equal to the value of something (such as a house or car) if it is damaged, lost, or stolen"
Another,adjective, one more in addition
Why,adverb, for what reason or purpose
Shall,verb, to say that something is expected to happen in the future
Property,noun," something that is owned by a person, business, etc."
Class,noun, a group of students who meet regularly to be taught a subject or activity
Cd,noun, a small plastic disk on which information (such as music or computer data) is recorded
Still,adverb, happening or existing before now and continuing into the present
Money,noun, something (such as coins or bills) used as a way to pay for goods and services and to pay people for their work
Quality,noun, how good or bad something is
Every,adjective, including each person or thing in a group or series
Listing,noun, a printed list
Content,noun,contents    the things that are in something
Country,noun, an area of land that is controlled by its own government
Private,adjective, for the use of a single person or group  belonging to one person or group  not public
Little,adjective, small in size
Visit,verb," to go somewhere to spend time with (someone, such as a friend or relative)"
Save,verb," to keep (someone or something) safe  to stop (someone or something) from dying or being hurt, damaged, or lost"
Tools,noun," something (such as a hammer, saw, shovel, etc.) that you hold in your hand and use for a particular task"
Low,adjective, not rising or extending upward a great distance
Reply,verb," to say, write, or do something as an answer or response"
Customer,noun, someone who buys goods or services from a business
December,noun, the 12th and last month of the year
Compare,verb, to say that (something) is similar  to  something else
Movies,noun, a recording of moving images that tells a story and that people watch on a screen or television
Include,verb, to have (someone or something) as part of a group or total  to contain (someone or something) in a group or as a part of something
College,noun, a school in the U.S. that you go to after high school  a school that offers courses leading to a degree (such as a bachelor's degree or an associate's degree)
Value,noun, the amount of money that something is worth  the price or cost of something
Article,noun," a piece of writing about a particular subject that is included in a magazine, newspaper, etc."
Man,noun, an adult male human being
Card,noun," a small piece of stiff paper that is marked with symbols or pictures to show its value, comes in a set, and is used for playing games (such as poker)"
Jobs,noun, the work that a person does regularly in order to earn money
Provide,verb, to make (something) available  to supply (something that is wanted or needed)
Food,noun, the things that people and animals eat
Source,noun, someone or something that provides what is wanted or needed
Author,noun, a person who has written something  especially   a person who has written a book or who writes many books
Different,adjective, not of the same kind  partly or totally unlike
Press,noun," newspapers, magazines, and radio and television news reports"
Learn,verb," to gain knowledge or skill by studying, practicing, being taught, or experiencing something"
Sale,noun," the act of selling something  the exchange of goods, services, or property for money"
Around,adverb, in a circle
Print,verb," to cause (words, images, etc.) to appear on paper or cloth by using a machine (called a printer)"
Course,noun, the path or direction that something or someone moves along
Job,noun, the work that a person does regularly in order to earn money
Canada,adjective or noun, country in North America
Process,noun, a series of actions that produce something or that lead to a particular result
Teen,noun, someone who is between 13 and 19 years old
Room,noun, a part of the inside of a building that is divided from other areas by walls and a door and that has its own floor and ceiling
Stock,noun, the supply of goods available for sale in a store
Training,noun," a process by which someone is taught the skills that are needed for an art, profession, or job"
Too,adverb, in addition
Credit,noun, money that a bank or business will allow a person to use and then pay back in the future
Point,noun, an idea that you try to make other people accept or understand
Join,verb, to put or bring (two or more things) together  to connect (two or more things)
Science,noun, knowledge about or study of the natural world based on facts learned through experiments and observation
Categories,noun, a group of people or things that are similar in some way
Advanced,adjective, beyond the basic level
West,noun, the direction where the sun sets  the direction that is the opposite of east
Sales,noun," the act of selling something  the exchange of goods, services, or property for money"
Look,verb, to direct your eyes in a particular direction
English,adjective, of or relating to England or its people
Left,adjective, located on the same side of your body as your heart
Team,noun," a group of people who compete in a sport, game, etc., against another group"
Estate,noun, all of the things that a person owns
Box,noun," a container that is made of a hard material (such as wood, metal, or cardboard) and that usually has four straight sides"
Conditions,noun, a way of living or existing
Select,verb, to choose (someone or something) from a group
Windows,noun," an opening in a wall, door, etc., that usually contains a sheet of glass"
Photos,noun,
Gay,adjective, sexually attracted to someone who is the same sex
Thread,noun," a long, thin piece of cotton, silk, etc., used for sewing"
Week,noun, a period of seven days
Category,noun, a group of people or things that are similar in some way
Note,noun, a short piece of writing that is used to help someone remember something
Live,verb, to be alive
Large,adjective, great in size or amount
Gallery,noun," a room or building in which people look at paintings, sculptures, etc."
Table,noun, a piece of furniture that has a flat top and one or more legs
Register,noun," an official list, book, or system for keeping records of something"
However,adverb, when you are saying something that is different from or contrasts with a previous statement
June,noun, the sixth month of the year
October,noun, the 10th month of the year
November,noun, the 11th month of the year
Market,noun, a place where products are bought and sold
Library,noun," a place where books, magazines, and other materials (such as videos and musical recordings) are available for people to use or borrow"
Really,adverb, to refer to what is true or real
Action,noun, something that a person or group does
Start,verb, to do the first part of something  to begin doing something
Series,noun, a number of things or events that are arranged or happen one after the other
Model,noun, a usually small copy of something
Features,noun," an interesting or important part, quality, ability, etc."
Air,noun, the invisible mixture of gases (such as nitrogen and oxygen) that surrounds the Earth and that people and animals breathe
Industry,noun, the process of making products by using machinery and factories
Plan,noun, a set of actions that have been thought of as a way to do or achieve something
Human,adjective," of, relating to, or affecting people"
Tv,noun,television
Yes,adverb," to give a positive answer or reply to a question, request, or offer"
Required,verb, to need (something)
Second,adjective, occupying the number two position in a series
Hot,adjective, having a high temperature
Accessories,noun," something added to something else to make it more useful, attractive, or effective"
Cost,noun, the price of something  the amount of money that is needed to pay for or buy something
Movie,noun, a recording of moving images that tells a story and that people watch on a screen or television
Forums,noun, a meeting at which a subject can be discussed
March,verb, to walk with regular steps as a group  to walk in the regular and organized way of soldiers
La,noun,music   the sixth note of a musical scale
September,noun, the ninth month of the year
Better,adjective, higher in quality
Say,verb, to use your voice to express (something) with words
Questions,noun," a sentence, phrase, or word that asks for information or is used to test someone's knowledge"
July,noun, the seventh month of the year
Yahoo,interjection, to express excitement or joy
Going,noun, the act of leaving a place
Medical,adjective, of or relating to the treatment of diseases and injuries  of or relating to medicine
Test,noun," a set of questions or problems that are designed to measure a person's knowledge, skills, or abilities"
Friend,noun, a person who you like and enjoy being with
Come,verb, to move toward someone or something
Dec,abbreviation,December
Server,noun,US   a person who brings your food and drinks at a restaurant  a waiter or waitress
Study,noun," the activity or process of learning about something by reading, memorizing facts, attending school, etc."
Application,noun," a formal and usually written request for something (such as a job, admission to a school, a loan, etc.)"
Cart,noun, a wagon with two wheels that is pulled by an animal (such as a horse or donkey)
Staff,noun, a group of people who work for an organization or business
Articles,noun," a piece of writing about a particular subject that is included in a magazine, newspaper, etc."
Feedback,noun," helpful information or criticism that is given to someone to say what can be done to improve a performance, product, etc."
Again,adverb, for another time  one more time
Play,verb, to do activities for fun or enjoyment
Looking,verb, to direct your eyes in a particular direction
Issues,noun," something that people are talking about, thinking about, etc.  an important subject or topic"
April,noun, the fourth month of the year
Never,adverb, not ever  not at any time
Users,noun, a person or thing that uses something
Complete,adjective, having all necessary parts  not lacking anything
Street,noun, a road in a city or town that has houses or other buildings on one or both sides
Topic,noun, someone or something that people talk or write about
Comment,noun, a spoken or written statement that expresses an opinion about someone or something
Financial,adjective, relating to money
Things,noun, an object whose name is not known or stated
Working,adjective, having a job
Against,preposition, in opposition to (someone or something)
Standard,noun," a level of quality, achievement, etc., that is considered acceptable or desirable"
Tax,noun," an amount of money that a government requires people to pay according to their income, the value of their property, etc., and that is used to pay for the things done by the government"
Person,noun, a human being
Below,adverb, in or to a lower place
Mobile,adjective, able to move from one place to another
Less,adjective, not so much  smaller in amount or number
Blog,noun," a Web site on which someone writes about personal opinions, activities, and experiences  also   the things that a person writes on such a Web site"
Party,noun," a social event in which entertainment, food, and drinks are provided"
Payment,noun, the act of giving money for something  the act of paying
Equipment,noun, supplies or tools needed for a special purpose
Login,verb, to cut down trees in an area for wood
Student,noun," a person who attends a school, college, or university"
Let,verb, to allow or permit (someone or something) to do something
Programs,noun, a plan of things that are done in order to achieve a specific result
Offers,verb, to give someone the opportunity to accept or take (something)
Legal,adjective, of or relating to the law
Above,adverb, in or to a higher place
Recent,adjective, happening or beginning not long ago
Park,noun, a piece of public land in or near a city that is kept free of houses and other buildings and can be used for pleasure and exercise
Stores,verb," to put (something that is not being used) in a place where it is available, where it can be kept safely, etc."
Side,noun," a place, space, or direction that is away from or beyond the center of something"
Act,noun, something that is done
Problem,noun," something that is difficult to deal with  something that is a source of trouble, worry, etc."
Red,adjective, having the color of blood
Give,verb, to cause or allow someone to have (something) as a present  to make a present of (something)
Memory,noun, the power or process of remembering what has been learned
Performance,noun, an activity (such as singing a song or acting in a play) that a person or group does to entertain an audience
Social,adjective, relating to or involving activities in which people spend time talking to each other or doing enjoyable things with each other
August,adjective,formal   having a formal and impressive quality
Quote,verb, to repeat (something written or said by another person) exactly
Language,noun, the system of words or signs that people use to express thoughts and feelings to each other
Story,noun, a description of how something happened
Sell,verb, to exchange (something) for money
Options,noun, the opportunity or ability to choose something or to choose between two or more things
Experience,noun, the process of doing and seeing things and of having things happen to you
Rates,noun, the speed at which something happens over a particular period of time
Create,verb, to make or produce (something)  to cause (something new) to exist
Key,noun, a device that is used to open a lock or start an automobile
Body,noun, a person's or animal's whole physical self
Young,adjective," in an early stage of life, growth, or development  not yet old"
America,adjective or noun, the continent of North America or the continent of South America
Important,adjective, having serious meaning or worth  deserving or requiring serious attention
Field,noun, an open area of land without trees or buildings
Few,adjective, not many
East,noun, the direction where the sun rises  the direction that is the opposite of west
Paper,noun," the material that is used in the form of thin sheets for writing or printing on, wrapping things, etc."
Single,adjective, not having or including another  only one
Age,noun, the amount of time during which a person or animal has lived
Activities,noun, the state of being active  behavior or actions of a particular kind
Club,noun, a group of people who meet to participate in an activity (such as a sport or hobby)
Example,noun, a person or way of behaving that is seen as a model that should be followed
Girls,noun, a female child
Additional,adjective, more than is usual or expected
Password,noun, a secret word or phrase that a person must know before being given permission to enter a place
Latest,adjective, most recent
Something,pronoun," a thing that is not known, named, or specified"
Road,noun," a hard flat surface for vehicles, people, and animals to travel on"
Gift,noun, something that is given to another person or to a group or organization
Question,noun," a sentence, phrase, or word that asks for information or is used to test someone's knowledge"
Changes,verb, to become different
Night,noun, the time of darkness between one day and the next  the part of the day when no light from the sun can be seen and most people and animals sleep
Ca,abbreviation,California
Hard,adjective," very firm or solid  not easy to bend, cut, etc.  not soft"
Texas,adjective or noun, state of the U.S.
Oct,abbreviation,October
Pay,verb, to give money for goods or services
Four,noun, the number 4
Poker,noun, a card game in which players bet money on the value of their cards
Status,noun," the position or rank of someone or something when compared to others in a society, organization, group, etc."
Browse,verb," to look at many things in a store, in a newspaper, etc., to see if there is something interesting or worth buying"
Issue,noun," something that people are talking about, thinking about, etc.  an important subject or topic"
Range,noun, a group or collection of different things or people that are usually similar in some way
Building,noun," a structure (such as a house, hospital, school, etc.) with a roof and walls that is used as a place for people to live, work, do activities, store things, etc."
Seller,noun, a person or business that sells something
Court,noun," a formal legal meeting in which evidence about crimes, disagreements, etc., is presented to a judge and often a jury so that decisions can be made according to the law"
February,noun, the second month of the year
Always,adverb, at all times  on every occasion  in a way that does not change
Result,noun, something that is caused by something else that happened or was done before
Audio,adjective, of or relating to the sound that is heard on a recording or broadcast
Light,noun," the form of energy that makes it possible to see things  the brightness produced by the sun, by fire, by a lamp, etc."
Write,verb," to form letters or numbers on a surface with a pen, pencil, etc."
War,noun, a state or period of fighting between countries or groups
Nov,abbreviation,November
Offer,verb, to give someone the opportunity to accept or take (something)
